Адрес$Категория охраны
Грота ул., 6$Выявленный объект культурного наследия
Профессора Попова ул., 41$Выявленный объект культурного наследия
Грота ул., 5$Выявленный объект культурного наследия
Профессора Попова ул., 5, лит. Ж$Выявленный объект культурного наследия
Профессора Попова ул., 9$Выявленный объект культурного наследия
Ремесленная ул., 6$Выявленный объект культурного наследия
Рентгена ул., 4$Выявленный объект культурного наследия
Рентгена ул., 7$Выявленный объект культурного наследия
Рентгена ул., 8$Выявленный объект культурного наследия
Рыбацкая ул., 10$Выявленный объект культурного наследия
Съезжинская ул., 22$Выявленный объект культурного наследия
Съезжинская ул., 29$Выявленный объект культурного наследия
Татарский пер., 9$Выявленный объект культурного наследия
Съезжинская ул., 4$Выявленный объект культурного наследия
Съезжинская ул., 5/7$Выявленный объект культурного наследия
Зверинская ул., 8а$Выявленный объект культурного наследия
Чапыгина ул., 5$Выявленный объект культурного наследия
Чапыгина ул., 5-7$Выявленный объект культурного наследия
Чкаловский пр., 12$Выявленный объект культурного наследия
Большая Разночинная ул., 20$Выявленный объект культурного наследия
Чкаловский пр., 16а$Выявленный объект культурного наследия
Чкаловский пр., 16б$Выявленный объект культурного наследия
Чкаловский пр., 27$Выявленный объект культурного наследия
Подковырова ул., 45$Выявленный объект культурного наследия
Подрезова ул., 28$Выявленный объект культурного наследия
Чкаловский пр., 31$Выявленный объект культурного наследия
Всеволода Вишневского ул., 10$Выявленный объект культурного наследия
Плуталова ул., 2$Выявленный объект культурного наследия
Чкаловский пр., 5$Выявленный объект культурного наследия
Пионерская ул., 35$Выявленный объект культурного наследия
Шамшева ул., 17$Выявленный объект культурного наследия
Динамо пр., 14, лит. А$Выявленный объект культурного наследия
Кронверкская ул., 7$Выявленный объект культурного наследия
